transaction_id,account_id,merchant_id,amount,is_fraud
1,1718,58,-2512.73,0
2,1149,182,15569.1,0
3,67,34,11886.39,0
4,6,7,-2803.34,0
5,637,109,12077.0,0
6,314,35,9512.98,0
7,1350,15,9863.75,0
8,565,193,2271.6,0
9,1602,25,1662.43,0
10,826,59,14063.38,0
11,506,79,1420.34,0
12,1106,86,6156.56,0
13,1623,134,12369.72,0
14,1026,180,-3009.59,0
15,204,88,9863.71,0
16,662,149,9734.41,0
17,805,71,12105.72,0
18,404,121,4248.2,0
19,1127,93,6224.49,0
20,536,96,3249.23,0
21,1392,32,15204.21,0
22,1236,53,-1734.73,0
23,577,59,19073.85,0
24,1985,69,10870.9,0
25,1233,190,17172.67,0
26,763,132,5655.79,0
27,1921,86,3306.98,0
28,117,18,17518.15,0
29,628,81,-2528.17,0
30,749,114,-2072.32,0
31,1502,184,2483.67,0
32,105,24,18994.37,0
33,495,66,10826.72,0
34,1795,141,8854.84,0
35,46,62,12633.91,0
36,823,54,5436.86,0
37,1355,143,13951.84,0
38,1240,197,4830.77,0
39,982,131,15659.08,0
40,960,37,1682.38,0
41,1516,37,1938.67,0
42,1837,131,8059.58,0
43,1946,191,5769.03,0
44,845,35,11202.9,0
45,449,180,4107.27,0
46,536,124,763.77,0
47,511,156,6745.21,0
48,1482,18,9023.91,0
49,1571,122,-1435.0,0
50,1560,164,8917.97,0
51,540,161,2981.42,0
52,1508,192,4811.3,0
53,2000,154,1982.95,0
54,16,48,18285.26,0
55,1595,168,12083.41,0
56,243,17,1561.51,0
57,1974,168,11125.78,0
58,1231,135,16214.31,0
59,912,57,5040.76,0
60,1295,8,15748.94,0
61,761,128,-1139.63,0
62,1803,117,15569.53,0
63,705,56,8507.36,0
64,1871,126,574.36,0
65,1754,159,5178.53,0
66,115,59,19699.82,0
67,1604,58,14588.9,0
68,1323,140,9377.16,0
69,1861,176,-2120.9,0
70,1507,159,5445.29,0
71,397,108,1576.29,0
72,394,191,-3224.97,0
73,1099,74,8555.11,0
74,978,167,17229.64,0
75,1506,148,11890.0,0
76,1127,101,1242.01,0
77,297,48,9339.62,0
78,1002,71,18580.86,0
79,178,116,13072.88,0
80,1239,182,12236.85,0
81,967,122,19203.95,0
82,315,78,14971.83,0
83,1063,199,-1584.41,0
84,259,29,3690.88,0
85,1740,93,19128.52,0
86,7,73,7242.63,0
87,49,100,-2209.06,0
88,1562,176,6465.12,0
89,161,74,12424.83,0
90,1893,184,19938.71,0
91,176,95,3097.63,0
92,1615,17,7852.17,0
93,1026,137,16992.02,0
94,1001,97,3881.68,0
95,1919,162,-2268.46,0
96,455,173,18723.4,0
97,1952,9,7211.02,0
98,1668,135,7569.59,0
99,276,144,10530.0,0
100,498,19,-4911.58,0
101,1653,134,18278.28,0
102,676,114,4036.28,0
103,1824,139,4923.3,0
104,1052,125,-647.27,0
105,1357,61,4453.79,0
106,1025,42,15098.59,0
107,1212,13,14999.79,0
108,56,140,18394.92,0
109,547,85,5080.74,0
110,1136,20,12718.04,0
111,1822,50,7680.94,0
112,1334,164,15100.57,0
113,36,92,12813.55,0
114,439,88,4197.57,0
115,1753,69,3416.85,0
116,1616,37,1311.06,0
117,1850,140,9412.89,0
118,595,99,19096.07,0
119,1601,125,1.67,0
120,1349,168,-2618.69,0
121,1664,54,-2014.98,0
122,307,130,14577.47,0
123,1558,178,3752.62,0
124,1752,41,609.17,0
125,619,45,3821.1,0
126,1133,103,11133.27,0
127,1396,106,8669.68,0
128,357,137,13589.74,0
129,181,190,3476.85,0
130,1380,128,6300.71,0
131,1700,86,-2450.79,0
132,68,47,-3173.53,0
133,292,5,6556.38,1
134,692,1,2539.92,0
135,181,44,10320.01,0
136,1490,150,-3924.95,0
137,434,38,-1955.84,0
138,1488,19,16629.77,0
139,1705,159,9157.79,0
140,914,115,12801.36,0
141,1558,195,16049.3,0
142,66,87,6595.86,0
143,1045,170,14026.51,0
144,1636,123,8114.64,0
145,384,82,568.72,0
146,1836,154,3441.4,0
147,1639,141,7258.76,0
148,1583,58,2922.14,0
149,39,146,3388.19,0
150,1309,67,3434.82,0
151,822,122,-1929.0,0
152,602,87,-2883.93,0
153,1621,131,-3837.6,0
154,785,55,-2226.09,0
155,1360,89,3592.68,0
156,1212,58,9846.8,0
157,671,63,-296.33,0
158,1267,91,17200.22,0
159,1097,52,15209.56,1
160,479,126,8013.18,0
161,1998,24,13105.25,0
162,561,72,4158.21,0
163,101,9,-4080.56,0
164,514,110,17608.32,0
165,1780,165,-1805.16,0
166,176,94,18698.43,0
167,238,117,9297.06,0
168,910,83,2639.08,0
169,1083,181,7388.12,0
170,1889,80,7540.75,0
171,1123,152,-4417.82,0
172,1978,149,3886.5,0
173,871,100,13496.64,0
174,1978,40,7751.73,0
175,495,103,1105.75,0
176,947,62,3377.75,0
177,1538,198,16576.36,0
178,755,69,8138.74,0
179,1321,142,8208.8,0
180,211,109,19036.69,0
181,1147,170,3022.03,1
182,1253,178,6988.53,0
183,1618,189,15292.84,0
184,1680,4,13972.81,0
185,1412,72,1644.99,0
186,140,17,-1222.72,1
187,541,114,12517.61,0
188,1415,85,1441.4,0
189,270,57,18066.9,0
190,1783,107,-1768.81,0
191,1036,48,2957.88,0
192,1891,172,-3630.32,0
193,1413,173,12582.63,0
194,1361,117,17281.57,0
195,506,161,10896.86,0
196,1130,31,18443.83,0
197,32,112,-1787.4,0
198,1098,47,-2806.65,0
199,1195,134,15960.32,0
200,1873,108,16387.78,0
201,1093,72,15775.99,0
202,813,71,14974.12,0
203,362,162,4055.71,0
204,1673,108,436.55,0
205,1457,53,18220.1,0
206,929,142,2675.0,0
207,100,16,4960.19,0
208,1682,171,12488.97,0
209,9,116,2333.9,0
210,1598,73,15478.26,0
211,697,74,-3249.13,0
212,1053,81,14779.57,0
213,1917,12,10046.28,0
214,1138,128,9324.84,0
215,462,70,6459.43,0
216,921,147,1926.14,0
217,1167,41,6601.76,0
218,390,181,6250.71,0
219,632,157,9593.85,0
220,682,198,2039.36,0
221,157,59,-3060.11,0
222,335,89,-1372.76,0
223,1885,192,12479.44,0
224,260,24,-4437.69,0
225,82,144,16411.08,0
226,754,180,12359.93,0
227,1465,80,14202.16,0
228,1969,134,15899.61,0
229,1196,165,-1932.24,0
230,1255,132,15561.28,0
231,720,92,7616.06,0
232,75,166,17138.1,0
233,1294,169,17164.67,0
234,1923,92,-4395.55,0
235,626,81,4571.63,0
236,62,142,8159.97,0
237,874,71,11959.0,0
238,320,179,2154.66,0
239,102,65,1303.56,0
240,1453,52,4531.64,0
241,874,30,7523.47,0
242,1746,185,18778.66,0
243,954,99,14052.71,0
244,255,158,5733.03,0
245,1556,98,-3640.85,0
246,570,42,-786.99,0
247,112,139,6398.11,0
248,985,27,15345.65,0
249,1337,152,4517.39,0
250,998,167,8462.42,0
251,461,72,17295.12,0
252,708,18,17844.91,0
